广东频道,#genre#
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8
广东珠江,http://120.197.112.28:8800/hls/33/index.m3u8
广东珠江,http://tenfarr.com:4000/udp/239.77.0.1:5146
广东珠江,http://14.29.76.30:9901/tsfile/live/1003_1.m3u8
广东珠江,https://skype.serv00.net/itouch.php?id=gdzj
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8
广东珠江,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000004000011655
广东珠江,http://14.221.179.51:8888/udp/239.77.0.1:5146
广东珠江,http://14.19.179.48:4022/udp/239.77.0.1:5146
广东珠江,http://14.117.234.110:9000/udp/239.77.0.1:5146
广东珠江,http://121.8.24.60:8899/udp/239.77.0.114:5146
广东珠江,http://14.19.179.158:4022/udp/239.77.0.1:5146
广东珠江,http://61.146.224.42:8088/hls/2/index.m3u8
广东珠江,http://116.23.99.235:50000/udp/239.77.1.94:5146
广东珠江,http://116.23.99.235:50000/udp/239.77.0.3:5146
广东体育,https://skype.serv00.net/itouch.php?id=gdty
广东体育,http://api2.52tb.xyz/info?id=414&token=20230326xflvzc
广东体育,http://gmxw.7766.org:808/hls/2/index.m3u8
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8
广东体育,http://jt.zorua.cn:8787/udp/239.77.0.112:5146
广东体育,http://183.236.32.24:9901/hls/1039/index.m3u8
广东体育,http://php.jdshipin.com:8880/xsj.php?id=gdty
广东体育,http://cdn.1678520.xyz/tvbts/tvbts2.1.php?id=null-29
广东体育,https://tvb.mytvsuper.us.kg/stream/tvb/null-29/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
广东体育,http://116.21.121.116:4433/tsfile/live/0142_1.m3u8
广东体育,http://113.87.91.59:9090/live/GD_Sports_HD/hls.m3u8
广东体育,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel34/index.m3u8
广东体育,http://183.6.110.241:9901/hls/1053/index.m3u8
